@projectCategoryName,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Number_val,Title_val,EndItemSupportedModel_val,CostElementList_Construction_PriorYear_TotalCost_val,CostElementList_Construction_CurrentYear_TotalCost_val,CostElementList_Construction_BudgetYearOneBase_TotalCost_val,CostElementList_Construction_BudgetYearOneOCO_TotalCost_val,CostElementList_Construction_BudgetYearOne_TotalCost_val,CostElementList_Equipment_PriorYear_TotalCost_val,CostElementList_Equipment_CurrentYear_TotalCost_val,CostElementList_Equipment_BudgetYearOneBase_TotalCost_val,CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val,CostElementList_Equipment_BudgetYearOne_TotalCost_val,CostElementList_EquipmentInstallation_PriorYear_TotalCost_val,CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val,CostElementList_ContractorSupport_PriorYear_TotalCost_val,CostElementList_ContractorSupport_CurrentYear_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val,CostElementList_Other_BudgetYearOneBase_TotalCost_val,CostElementList_Other_BudgetYearOneOCO_TotalCost_val,CostElementList_Other_BudgetYearOne_TotalCost_val,CostElementList_Other_PriorYear_TotalCost_val,CostElementList_Other_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneBase_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOneBase_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_CurrentYear_TotalCost_val,MilestoneList_FinalDesignComplete_val,MilestoneList_InitialProjectAward_val,MilestoneList_FinalProjectAward_val,MilestoneList_EquipmentInstallationComplete_val,MilestoneList_ConstructionComplete_val,MilestoneList_ProveOutBegins_val,MilestoneList_ProveOutComplete_val,MilestoneList_ConceptDesignComplete_val,NarrativeExplanation_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"","","","0","20","20","5205153","NQ Point Source Wastewater Treatment, Construct","IMX-101","","","0","20","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-05","","","2022-05","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $20.000 million supports the construction of a nitroguanidine (NQ) Point Source Wastewater Treatment facility at Holston Army Ammunition Plant (AAP).  The existing Industrial Waste Water Treatment Facility (IWWTF) has insufficient capacity to support future production requirements of insensitive munition explosives (IMX.)  NQ is a production intermediate of IMX.  This effort will construct a point source treatment facility to complement the existing industrial waste water treatment facility processes.  This effort will provide an effective and efficient treatment solution for the NQ waste stream.  Effort will maintain environmental compliance and support the Holston AAP modernization initiative to increase annual IMX production capacity from three million pounds to eight million pounds.  This is a new start.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","25-d03ad4b494b75035197c7740a04cc8580bf36fd25db1c3842cc27c66da2d46a0","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","","0","7","7","5205154","Critical Spares","","","","","","","","","0","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-12","","2021-06","","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $7.000 million supports facilities and maintenance and procures critical spares for explosive production operations at Holston Army Ammunition Plant.  This project will include procurement of long lead equipment spares to prevent long-term production interruptions and will decrease production downtime and provide reliable backup supply for the aging components and parts across the plant to ensure production continuity.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","26-613ce82a1cc3b1f34d31b6a752406f76bb9f017dc0c626f3ed26c98c1e6fcda7","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","10","","","","5195169","Cyber Critical Infrastructure Risk Management (CIRM) Resiliency","Research Develop Expl(RDX),High Melt Exp(HMX),Insensitive Mun Exp(IMX)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","2019-06","","","2022-06","","","","Procurement dollars in the amount of $10.000 million supports modernization upgrades to support Cyber Critical Infrastructure Risk Management (CIRM) Resiliency at Holston Army Ammunition Plant.  Modernization effort will replace and upgrade existing industrial operations information technology and operational technology  systems to ensure a cyber-secure environment.   These systems include industrial control systems, Supervisory Control and Data Acquisition (SCADA) systems, distributed control systems, Programmable Logic Controllers (PLC), as well as standard IT systems.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","27-69e916e0b2b0831162eb28be0a49e94f3a665734f9e664fc8650976769350a2f","1-6976a53693678e7bdf28f11b095e94a659a581edec730e196befc319c1affed3","root.record.FacilityList.ProductionSupportFacility"
"","","","0","8.79","8.79","5193410","Replace Main Sewage","Artillery, Mortars, Demolitions, Tank, 40mm Ammo and Missiles","","","0","8.79","8.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020-04","","","2022-08","","","","FY 2020 OCO for Base Requirements procurement dollars in the amount of $8.790 million supports replacement of the main sewage treatment system at Iowa Army Ammunition Plant.  The existing treatment facility was constructed in the 1940s and has exceeded its useful life.   This effort will ensure the Plant's treatment facility achieves state and federal environmental compliance.  This effort will construct a right-sized treatment facility and integrate state-of-the-art technology to improve energy efficiency and reduce operational costs.  This is a new start.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","0-0c7c321d57061c3085cd95c301f103084666b5d0023eae28cd589a46dbe3f8f6","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
"","0.769","","","","","5183536","Critical Bridge Repair","Artillery, Mortars, Demolitions, Tank, 40mm Ammo and Missiles","0.769","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018-09","","","2020-03","","","","Procurement dollars in the amount of $0.769 million supports replacement of bridge H-11 at Iowa Army Ammunition Plant.  Bridge H-11 provides access to yard E which is the primary yard in support of production.  The bridge was installed in 1945 and experiences significant defects, including rust and corrosion on railings, an unsupported post base, corroded and delaminated bearing plates.  The new bridge shall comply with American Association of State Highway and Transportation Officials (ASSHTO) and Iowa Department of Transportation standards.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","1-72687357469e17146e4755c0b0a94eecf4a332b2c93d2c8e9fd4fc6d0944befc","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
"","","2.28","","","","5193692","Central Fire Alarm Reporting System, Facilities and Maintenance Phase 2","Artillery, Mortars, C4 Extrusion, 40mm","","","","","","","1.75","","","","","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-04","","2020-11","","","","","Procurement dollars in the amount of $2.280 million supports second phase of this facilities and maintenance effort to modernize the central fire alarm reporting system at Iowa Army Ammunition Plant (AAP).  Effort will procure and install equipment for alerting personnel of a fire event or faulty conditions in thirty buildings.  Project will ensure Iowa AAP maintains compliance with applicable fire alarm and reporting system regulations.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","2-6c16ce725051d2b5f20190b1daa20e44e10e9494665af9ca7a3ae6ae784c192e","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
"","","","0","6.3","6.3","5203745","Roadway Mod Improvements (Roads A & C) Facilities and Maintenance","40mm, Artillery, Mortar, Tank","","","","","","","","","","","","","","","","","","","","","","","","","","0","6.3","6.3","","","","","","","","","","","","2020-03","","","2021-12","","","","FY 2020 OCO to Base Requirements procurement dollars in the amount of $6.300 million supports facilities and maintenance efforts to Roads A & C at Iowa Army Ammunition Plant (AAP).  These roads have deteriorated to a condition in which routine maintenance is no longer economically feasible.  Effort will rehabilitate approximately 5 miles of roadways.  The rehabilitation of these roads will ensure safe travel of explosive laden trucks and maintain continuity of 40mm, artillery and mortar load, assemble and pack (LAP) operations at Iowa AAP.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","3-8705e7185426ca665a8f78aa25d0fa0070e5b112699bff50c58ef0650f5e780d","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
"","","2.3","","","","5193788","Security Automation, Facilities and Maintenance","Artillery, Mortars, Demolitions, Tank, 40mm Ammo and Missiles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","","","","","","","2019-06","","","2020-06","","","","Procurement dollars in the amount of $2.300 million supports installation of a new automated security system at Iowa Army Ammunition Plant.  The existing security program relies on stationary guard support for production line gates and roving security patrols.  The modernized automated system will include security cameras, proximity badge scanners, remote monitoring, and automatic gates.  This facilities and maintenance effort will reduce the number of security personnel, reduce overhead costs, increase security capability, and improve safety management program.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","4-fbc518e67d46afc2fc56d0ed843726b845311a99c5e5c87323ecfc20b632a40b","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
"","6.126","4.73","","","","5XX3794","Rail System Upgrades, Facilities and Maintenance","40mm, Artillery, Mortars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.126","4.73","","","","","","","","","","2018-09","2019-05","","2020-11","","","","Procurement dollars in the amount of $4.730 million supports additional upgrades to rail tracks in storage yards on the eastern portion of Iowa Army Ammunition Plant.  A 2014 rail inspection identified several critical deficiencies and deterioration of trackage and culverts.  This facilities and maintenance effort will assure continued viability of the installation rail system for the transport of raw production materials and finished production.  Rail systems supports 40mm, as well as 60mm, 81mm, and 120mm mortars production.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","5-92b38882a95e7c373e81178f303380c8844f5f180a5deeca20885e250666bf7f","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
"","","6.874","","","","5195030","IAAAP Footprint Reduction - Melt Pour Operations Phase","Mortars, Artillery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.874","","","","","","","","","2020-10","2019-04","","","","","","","Procurement dollars in the amount of $6.874 million supports Phase I design for footprint reduction at Iowa Army Ammunition Plant.  The existing artillery and mortar melt pour process line was built during the 1940s.  The design included high rate, labor intensive production with minimal process controls.  The facility contains aging equipment and infrastructure and cannot meet production capacity requirements for load operations of insensitive munitions.  Phase I will evaluate the transfer of Line 3A to the east side of the plant.  Effort will develop ninety percent design plans for the construction of a Melt Pour facility to achieve efficient manufacturing operations, reduce maintenance costs and consolidate production areas to a central location on the Plant.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","6-e9a310acbef649d8b7843e9844c2f865bc3f05073c71172ada0baeec0715bdc5","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
"","2.689","","","","","5XX5036","Roof Replacement, Production Areas, Facilities and Maintenance","M112 C4, 40mm, Hellfire warheads","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.689","","","","","","","","","","","2018-09","","","2020-09","","","","Procurement dollars in the amount of $2.689 million supports roof replacement in various production areas, including Lines 1, 2, 3A, and 4A at Iowa Army Ammunition Plant.  Existing roofs have exceeded their life expectancy;  if these roofs fail, production equipment and stored materials would be compromised resulting in interruption of operations.  This facilities and maintenance effort will improve safety and work environment within the production areas.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","7-a035df31f8b626bedfd71ae30fc1a0fbaba49adb01105a9418d9ceae9387326e","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
"","","1.51","","","","5195034","Storage Yard Magazines Mod Upgrades, Facilities and Maintenance","Artillery, Mortars, C4 Extrusion, Tank Ammunition, 40mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.51","","","","","","","","","","2019-06","","","2021-06","","","","Procurement dollars in the amount of $1.510 million supports modernization upgrades to the storage yard magazines at Iowa Army Ammunition Plant.  The existing magazines were constructed in the 1940s.  The magazines are deteriorating and routine maintenance is no longer economically viable.  This facilities and maintenance effort will rehabilitate storage magazines, extend the useful life and improve access to rail and trailers.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","8-721b75ec50fce34b99e021de0f3e57c6bbf7157b93dd2a8d651e7920534da864","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
"","","2.8","","","","5195093","40mm X-Ray & DICONDE Implementation","40mm","","","","","","","","","","","","2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019-06","2020-12","","","","","","Procurement dollars in the amount of $2.800 million supports implementation of Digital Imaging and Communications in Nondestructive Evaluation (DICONDE) X-ray system at Iowa Army Ammunition Plant (AAP).  This equipment replacement effort will install modern technology to improve x-raying of 40mm cartridge cases and primer mixes throughout the load, assemble, and pack (LAP) operations at Iowa AAP.  This effort will reduce production costs and improve quality and round reliability.","2020-BASE_PROCUREMENT-2020-ARMY_AMMO-U_PROCUREMENT_JustificationBook_Army_PB_2020.zzz_unzipped-U_PROCUREMENT_JustificationBook_Army_PB_2020.xml","3ff5717c0071fdda534afc6a225eb17d1ca462eab0f167c6886a39c906a1ea0f","9-48584ff705c0f6ec2f1dbf02c890f217e668fcb08b18d3bf72f26e1b8e42e006","2-a06417e1f8037d56de537940cec16aad2e7e803297e0557fb0a5aa1d18a0dfda","root.record.FacilityList.ProductionSupportFacility"
