Name_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"WGS B2FO Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","19.051","0","40.698","21.647","0","0","0","0","0","0","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","0-95f5d3ae33ec01037ab85f47c12120757fafecb4cd03048a931a7de899b81a21","1-cdf13378e7176e4a9822fcf18b5a98634a112f22c879bcd68b6281ed257d5d7d","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) WGS B2FO support","","","","","","","","","","","","","","","","","2.589","0","4.66","2.071","0","0","0","0","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","1-c92a4615ccdd466cbff9d045223c208c8f08844e19cdd7fc1d9bad4b31e6a9c6","1-cdf13378e7176e4a9822fcf18b5a98634a112f22c879bcd68b6281ed257d5d7d","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","0","5.803","5.803","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","2-bbf1ac233147b8d22d32a8180e832c8182fd3cd86599ffaa59f5e1c0cd6ef20a","1-cdf13378e7176e4a9822fcf18b5a98634a112f22c879bcd68b6281ed257d5d7d","root.record.ItemExhibitList.P5Item"
"WGS Enterprise SE&I","","","","","","","","","","","","","","","","","1.7","0","2.7","1","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","3-cbf037d91b25ba783a636c0ec57549f080cf16cdd7b82b4934bd34bd7e38fd36","1-cdf13378e7176e4a9822fcf18b5a98634a112f22c879bcd68b6281ed257d5d7d","root.record.ItemExhibitList.P5Item"
"GPS IIF Integration","","","","","","","","","","","","","","","","","5.94","0","5.99","0.05","0","0","0","","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","0-130f527eaab0694161ae8d39e11afd95ce6e7237a369d162fe5e6d0eb10fae39","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
"GPS IIF Launch Services Planning","","","","","","","","","","","","","","","","","243.186","0","245.9","2.714","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","1-4e56c85f8b18fcb90741fc601f29f9fa34e392624987f1605696f53b04bdf8bc","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
"GPS IIF Propellants","","","","","","","","","","","","","","","","","5.759","0","5.924","0.165","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","2-707bd4edd46b8068b78875a37882ca83b89cbdd86f44dcbacddd3f5db27a5fb6","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
"GPS IIF Storage Reactivation & Transport","","","","","","","","","","","","","","","","","22.092","0","28.508","6.416","","","","0","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","3-825949b719fe6a0bf463ee030314e6b862c17f2df04c51269b9cea9a47d9e071","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
"GPS IIF Technical Mission Analysis","","","","","","","","","","","","","","","","","","0","5.678","5.678","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","4-2bc8d10ad9362d3dbee1ed66f410f39ed3119c20b7265ae2f302dab0172b2af5","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
"GPS IIF Enterprise SE&I","","","","","","","","","","","","","","","","","364.512","0","364.629","0.117","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","5-d8e00c09cae9283a43e46627bb57a5c5cbe37d69f2d0cb0917ac4d32ab1d5a4e","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
"GPS IIF GSA Vehicles","","","","","","","","","","","","","","","","","","0","0.035","0.035","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","6-372448595a14a524772620fa889a0e32bbe337cec50b46bce42e74b6f1480e1b","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
"VAFB Launch Base Support","","","","","","","","","","","","","","","","","18.306","","","0.5","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","00c45818686bae6360765c16c500c81badea6f0d5b39d4f749b9a35ca37b28fb","0-69222fbdf0e379067db9634416b75e959c4c51ff86c3f609eed91a95a87a03fa","0-a5d1855c3307b9686f9be29a51000f2d656a766a7657690fd6dfd35053e7ae88","root.record.ItemExhibitList.P5Item"
"EELV Mission Unique Hardware","","","","","","","","","","","","","","","","","30.566","","","2","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","00c45818686bae6360765c16c500c81badea6f0d5b39d4f749b9a35ca37b28fb","1-c6016c280c7945d42db9e170224f857cb08d1022f04174e9a4bf0bbcc8fe21b3","0-a5d1855c3307b9686f9be29a51000f2d656a766a7657690fd6dfd35053e7ae88","root.record.ItemExhibitList.P5Item"
"NGC Launch & Early Orbit Spt--CLIN 3","","","","","","","","","","","","","","","","","7.565","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","00c45818686bae6360765c16c500c81badea6f0d5b39d4f749b9a35ca37b28fb","2-3cfe5678e4dc6e017c1f6faaa4bfeb045d6a1a49ad9c8d8a0245c44c329b1635","0-a5d1855c3307b9686f9be29a51000f2d656a766a7657690fd6dfd35053e7ae88","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","105.035","0","135.647","30.612","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ba076296aff15c2f2961886b84d8a001a53c229bc2b8cc2bff1bf90636aa7516","0-c3b81bad970b21213149c2d3bea5a55d0834f039fbf951206c9d463000197c57","0-a6084c29cd7f5f6df52c59c94b488ff39e3e2599e4a135861cb25258a58c6536","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","21.753","0","21.753","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ba076296aff15c2f2961886b84d8a001a53c229bc2b8cc2bff1bf90636aa7516","1-7f17cc4fa156ae8585fa0685b8096eda28c2c08ca84d7870e04dfe692082ca7a","0-a6084c29cd7f5f6df52c59c94b488ff39e3e2599e4a135861cb25258a58c6536","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","","","","","","","","","","","","","","","","","290.585","0","290.585","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ba076296aff15c2f2961886b84d8a001a53c229bc2b8cc2bff1bf90636aa7516","0-8eb591545e7f80d38cd77da76107ac0055e69aa707bccac5a023d90fbb6da784","1-58fb91bbda03b9d5c5b51b849b04c94ed7dc6d8ed585f63de6c705eee753b38c","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding (3021)","","","","","","","","","","","","","","","","","-3.271","0","-3.271","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ba076296aff15c2f2961886b84d8a001a53c229bc2b8cc2bff1bf90636aa7516","1-bb77f9a61f88998349fb2ff30c9417653f93bc917bff9845a2a1cd9f508f7a7b","1-58fb91bbda03b9d5c5b51b849b04c94ed7dc6d8ed585f63de6c705eee753b38c","root.record.ItemExhibitList.P5Item"
"FY18 Incremental Funding (3021)","","","","","","","","","","","","","","","","","-287.314","0","-287.314","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ba076296aff15c2f2961886b84d8a001a53c229bc2b8cc2bff1bf90636aa7516","2-c8f4d7395f8e6387d2b98630f029da2da310051517c22e0838680bc640d3c4ad","1-58fb91bbda03b9d5c5b51b849b04c94ed7dc6d8ed585f63de6c705eee753b38c","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","","","","","","","","","","","","","","","","","234.367","0","237.222","2.855","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ba076296aff15c2f2961886b84d8a001a53c229bc2b8cc2bff1bf90636aa7516","0-b7036b8911fa826e353e9108d03e01bfe478815f687062d219f3d00adfc51644","2-9efa257777fd100a3be963239e029379d631907530670f3cc4efa68122bc7cfa","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","42.141","0","54.708","12.567","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","ba076296aff15c2f2961886b84d8a001a53c229bc2b8cc2bff1bf90636aa7516","1-fa9f28f28221144ffb8b40447d0e7e323ab4e5730e2c747fc51fc4b091174e09","2-9efa257777fd100a3be963239e029379d631907530670f3cc4efa68122bc7cfa","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 Launch Support Services","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","0-849edc92547e48c8fb56c5008944b8175590874a2d6765c20364e566b832f64e","0-eef54e89d96ffc3761b53f7646a6a326b6da20762afa9cedfb678eb6d28c5e77","root.record.ItemExhibitList.P5Item"
"Integration of AEHF SV 3 with Launch Vehicle","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","1-b8a805d1cc2e1eded8ee7116272ac0fa31ae51764c7c84f9f9a9418d0febc9c5","0-eef54e89d96ffc3761b53f7646a6a326b6da20762afa9cedfb678eb6d28c5e77","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 Propellant","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","2-c666788d520659fbcea9ee891e227dcb439955e5a05f63e0cbcbd546da5ae073","0-eef54e89d96ffc3761b53f7646a6a326b6da20762afa9cedfb678eb6d28c5e77","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management Support","","","","","","","","","","","","","","","","","0","0","0.176","0","0.176","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","3-29610bd0205f41d3d795cd347e6263e1fec331ff39757c302a9ef0a52c2f0419","0-eef54e89d96ffc3761b53f7646a6a326b6da20762afa9cedfb678eb6d28c5e77","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","0","0","86.267","0","81.372","4.895","4.895","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","4-c52d5c2ea079fddbf593b3d11b330b4e94e5c13fea1c258925a4f15d94b08121","0-eef54e89d96ffc3761b53f7646a6a326b6da20762afa9cedfb678eb6d28c5e77","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 Propellant","","","","","","","","","","","","","","","","","0","0","3.705","","3.705","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","5-c4a36dcc318e796b9c2e8910220f75a44b62b1753ef6b55bd8fba393d7f30f60","0-eef54e89d96ffc3761b53f7646a6a326b6da20762afa9cedfb678eb6d28c5e77","root.record.ItemExhibitList.P5Item"
"AEHF SV 3-4 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","0","0","1.394","","1.394","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","6-8a3b747d413095e9d4fa4f8604139b3d62193048ea2c479867b009b5a349ba86","0-eef54e89d96ffc3761b53f7646a6a326b6da20762afa9cedfb678eb6d28c5e77","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) Launch Support AEHF SV 4","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","7-21f93b45a77fae1846d190eab2202184e990218d1b2da975fd079db051d5fbab","0-eef54e89d96ffc3761b53f7646a6a326b6da20762afa9cedfb678eb6d28c5e77","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Propellent","","","","","","","","","","","","","","","","","","0","7.862","","","3.854","3.854","4.008","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","0-30009b28101338ec8cea102496a82ec9c7ad597f9e634c949a8be8e17e7da5e3","1-ce85cf252da355156c71ecffdc9bc7373521e06ff0816a4e67474fe0c72a0371","root.record.ItemExhibitList.P5Item"
"AEHF Spectrum Management","","","","","","","","","","","","","","","","","","0","0.982","","","0.244","0.244","0.386","0.176","0.176","0","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","1-ca4e7a60dc7dd0339ce9f68de05b0248df8508665f8dba65600f0b80d93bc1b0","1-ce85cf252da355156c71ecffdc9bc7373521e06ff0816a4e67474fe0c72a0371","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Launch Support Services/Launch Readiness","","","","","","","","","","","","","","","","","","0","10.238","","1.036","2.459","2.459","3.333","1.141","1.129","1.14","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","2-d8fcd39f1e6b34917a4f3150bbf237bdbf2a5e9cac0f32bb194a3bee6a0bb788","1-ce85cf252da355156c71ecffdc9bc7373521e06ff0816a4e67474fe0c72a0371","root.record.ItemExhibitList.P5Item"
"Command & Control System-Consolidated (CCS-C) Launch Support AEHF 5-6","","","","","","","","","","","","","","","","","","0","1.906","0","1.906","0","0","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","3-8c1940c009e0d1ca8db6316db8134d73d4a31fe34010b3d5a03b6c00ffa76550","1-ce85cf252da355156c71ecffdc9bc7373521e06ff0816a4e67474fe0c72a0371","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Satellite Transportation for Launch","","","","","","","","","","","","","","","","","","0","3.218","","","1.533","1.533","1.685","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","f218ac2110d66a7339625ab6285a9cc2345472f05134314730af38108e7a6552","4-14187c3e6d352e6da16b75d4b8bd46e3ad98c927bf9ab7a0980e791f79e2965b","1-ce85cf252da355156c71ecffdc9bc7373521e06ff0816a4e67474fe0c72a0371","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","","0","101.939","","16.891","65.42","65.42","19.628","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","0-7ee0fbe074b060dc895c27b47f25be4a3c70b85543e88c2371dbb577f38591b0","0-8620606d7964644c9bf2c6b09d9b4d62d80431167b1bc324b3a74cc95181c182","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","","0","22","","22","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","1-6dcc011428b875d59dcef8e55ce3c5371a6806fdf2f409c9af48b0db58487d97","0-8620606d7964644c9bf2c6b09d9b4d62d80431167b1bc324b3a74cc95181c182","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","","","","","","","","","","","","","","","","","","0","290.585","","","3.271","3.271","287.314","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","0-4ca41fc558a9b6b6e18c9b61c81dd645d2574f74d55777e8b8e1c4243b637c23","1-a1a70f8b78cd7910948ae203ae0600ec6dc83a5bb98a95b9247f1fe1aeb3c678","root.record.ItemExhibitList.P5Item"
"Interim Contractor Support (ICS)","","","","","","","","","","","","","","","","","","0","96.5","","","22","22","74.5","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","1-829aa569710ac56d39c51c34d6122180bcd042c8f210f9a4ab6cd2807c17910f","1-a1a70f8b78cd7910948ae203ae0600ec6dc83a5bb98a95b9247f1fe1aeb3c678","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","","","","","","","","","","","","","","","","","","0","20.273","","6.863","8.71","8.71","4.7","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","0-11d9cf7cdc91c77af7cd9ac386ab09f1be0a70728d6cde56d526ee795c3e0655","2-09a6846cf9ba014c973af804dd3fc3f3145e5ba79cbda59fcbbaa7f89b02b229","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","","","","","","","","","","","","","","","","","","0","18.118","","3.498","11.837","11.837","2.783","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","47a5432172342821db8a8588f41755940326caa43b9180a0dbf6bec4e452e639","1-fd280ade691fc50e63d7288bf395b34896860c656dc03e421530d6dacb81b559","2-09a6846cf9ba014c973af804dd3fc3f3145e5ba79cbda59fcbbaa7f89b02b229","root.record.ItemExhibitList.P5Item"
"WGS B2FO Checkout & Launch/Launch Readiness","","","","","","","","","","","","","","","","","0","0","67.965","0","31.345","17.792","17.792","14.651","4.177","0","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_SPACE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","3255501ffa7e007f3c342626c3859e23ce9cb25fcae262f3ab8cf068655a5acb","0-f46c49602fceb8285f80954b773ca3097a26f38adc05f1547e7471861a9e4304","0-adc08b32dcfb71a8a2c14bc4a0b96305303ac8437dc71ea09854df252c7ea152","root.record.ItemExhibitList.P5Item"
