Name_val,IdCode_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"GEO 5-6 Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","8-634386397a82d0981ae31a61b87731a5f708037a64395a63ae7f96a532c5f687","","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","12.275","12.275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","9-84fecc5615dbd43f1c5b0f2f1943c2cfbc8672e4f6c37beb65e089722afd028b","","1-21966717697613569f33a06eebc44e81b0209688242e0e9e3bca36cd3f405c8c","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Hardware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","351.24","0","351.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","0-89dd688657cbd5e4ba708e81ab6a5bf93261428ac6de2c16e251d206f1ae47df","","2-936f9df0c8906fecfc60ca69db1bd77e86c113a4a62832e469dc712a3ed980c8","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Integration and Assembly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","199.338","0","199.338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","1-32dcb1bfa352e56db97caff9a8e120b00f75aa8dff025434cd4281f360f0027c","","2-936f9df0c8906fecfc60ca69db1bd77e86c113a4a62832e469dc712a3ed980c8","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Enterprise Systems Engineering & Integration (SE&I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.487","0","24.314","6.827","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","2-a170900e1c6299c8ab924ed7b3601d98563fdd855d7e810aace17b7c61f98c39","","2-936f9df0c8906fecfc60ca69db1bd77e86c113a4a62832e469dc712a3ed980c8","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Payloads","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","1149.269","0","1149.269","","","","","","","","","","574.635","574.635","","","","","","","","","","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","3-e1378212eed09262faad63956990a2f5216de522453227167be4db1d5e70cd35","0","2-936f9df0c8906fecfc60ca69db1bd77e86c113a4a62832e469dc712a3ed980c8","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Payloads Debit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1149.269","0","-1149.269","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_JustificationBook_Air_Force_PB_2017.xml","0044feba6c5f103dc52333af25237d8df99ab8495c014e88535cc38b2a15aca5","4-05dac1e656cd0481b85d0fdc68569a813bcf72710bf853af2d61128dc17053ce","","2-936f9df0c8906fecfc60ca69db1bd77e86c113a4a62832e469dc712a3ed980c8","root.record.ItemExhibitList.P5Item"
"AEHF Space Vehicle (SV) 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","832.268","0","832.268","","","","","","","","","","832.268","832.268","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","0-99e20e4c7dd1c691f84fc9391bf0de654b237e5cc1ea1f11853fceb15ee926a3","","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"AEHF Space Vehicle (SV) 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1693.304","0","1693.304","","","","","","","","","","1693.304","1693.304","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","15","74","89","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","1-0e92bd6629c379c15db9abbaa37253493069695d28d6730be74489655f95c6ca","0","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.69","0","40.031","8.341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","2-ada3a8b984aaa6c111d104fadab52462185891d534c988944788d867024d4bb8","","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"GFP - ACF/IC2 Interim Contractor Support (All Labor)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.275","0","12.275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","3-563f01a10bbc8ea0316d37d79ce85f8cec90a07b9b5c4aedac49f0a88acb2c87","","0-91add91bc3a8630582cd37ad76e47f43bf3b3e208d5e8e0ec5ed3753ec1cd919","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Block Buy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2294.275","0","2466.424","172.149","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","0-a4a553478e1869ba738a60115f7a1c949c8ced9782fac0ae93131bbbec44f92e","","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"FY15 Incremental Funding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-172.149","0","-172.149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","1-32362605ab9697a65a031531ec4aa8ebe753d3b5fc768367241e586a3f7b9114","","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"FY16 Incremental Funding (3021)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-165.579","0","-165.579","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","2-cce4d1b6fab505c28fdae95b8e8ba341d50421cbba83665c1447df877d70cc2e","","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding (3021)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-560.991","0","-560.991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","3-8fd0ac1ff06a52c757ea4145e36bc970ec17abfddd66e922c11377395f6904ec","","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"AEHF 5-6 Block Buy satellites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","2294.275","0","2294.275","","","","","","","","","","1147.138","1147.138","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","4-9547b17bf56a88feb886c2e4a06808ba4ae397b8a8dab29ca0b113b72dd74815","0","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"AEHF 5-6 Block Buy satellites Debit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2294.275","0","-2294.275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","5-6d70f01ab7de43259de9a6febed30cd9c7a41e35d0a55136511680e9e12bfb81","","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","10.015","10.015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","6-78bedade0c9c074e4d8644db43560c5bda7433e522635fc5464141e84efea824","","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"GFP - ACF/IC2 Interim Contractor Support (All Labor)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.222","0","36.567","17.345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","d561ba4a25d84282efd1d93f8144ea01f8adfa23345c2352de73f67eaa21493b","7-a18b12ec6fb9f6b7a82540afc9d429815d7539a86980e816fe3858955fa27f54","","1-ec2c091a5a8f8eb6be550bab7d7e0990f2260d5699197babbf7c54a6d99a3b03","root.record.ItemExhibitList.P5Item"
"WGS SV 1-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","","","","","","","","","533.673","0","533.673","","","","","","","","","","177.891","177.891","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","0-1d551be9cd9aef58cbf2986cea450dce79c28583b9a9bb2ada144885ce61ab76","","0-350bc2e7e187e00cfcb410356af4316d4578f11aee6a11dc909588e724cb79ad","root.record.ItemExhibitList.P5Item"
"WGS SV 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","376.463","0","376.463","","","","","","","","","","376.463","376.463","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","1-9b89d33e6728460cea82e8fc4c545c98478db327d4e8f5dc6ab0e11b532eb344","","0-350bc2e7e187e00cfcb410356af4316d4578f11aee6a11dc909588e724cb79ad","root.record.ItemExhibitList.P5Item"
"WGS SV 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","338.319","0","338.319","","","","","","","","","","338.319","338.319","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","2-2dfacbec7b40b74df7ef7d13e842875a5bb39280f1fc2f300219dd39362f7e87","","0-350bc2e7e187e00cfcb410356af4316d4578f11aee6a11dc909588e724cb79ad","root.record.ItemExhibitList.P5Item"
"WGS SV 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","443.532","0","443.532","","","","","","","","","","443.532","443.532","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","0-7a230cb8143e33a621fda1b56582f4885058e5e3cd9675614753cd764ddeff82","","1-cdf13378e7176e4a9822fcf18b5a98634a112f22c879bcd68b6281ed257d5d7d","root.record.ItemExhibitList.P5Item"
"WGS SV 8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","353.925","0","353.925","","","","","","","","","","353.925","353.925","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","1-e60957f9eb3ab64115a37901223fb0554b31ced2890b21be8329df9491fe560a","0","1-cdf13378e7176e4a9822fcf18b5a98634a112f22c879bcd68b6281ed257d5d7d","root.record.ItemExhibitList.P5Item"
"WGS SV 10 (Congressional add)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","338.7","0","338.7","","","","","","","","","","338.7","338.7","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","18f40b4580e69dc9aeb591abe8445674c8895eab656f114641c7584f15991f80","2-24734407e31ac37c435d107cd28b87c5d0653be2e21dd8b9371c229692a1f347","0","1-cdf13378e7176e4a9822fcf18b5a98634a112f22c879bcd68b6281ed257d5d7d","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","7","1","","","","","","","","","1382.374","0","1639.682","257.308","0","0","0","0","0","0","0","0","230.396","234.24","257.308","","","","","","","","","Lockheed Martin","Denver, CO","0.00","0.00","0.00","0","0","0","0","0","18","60","78","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","cdbb4fb4f6ae602204437f67f704687063469c0fb2ddc7876c6d3d17897d780a","0-d062162f1fc89526163f05ab006a703d14d40029b3eba32405d80a180006e24b","4","0-bc14c8a8d6bc70eed65a6beff763ca9eee88978bb998ce916b20749e8808b22b","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Technical Mission Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.155","1.155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","cdbb4fb4f6ae602204437f67f704687063469c0fb2ddc7876c6d3d17897d780a","1-94becab94d44888ea2bb041c8999bd496763967253bc38ca9ade65e42e366f8a","","0-bc14c8a8d6bc70eed65a6beff763ca9eee88978bb998ce916b20749e8808b22b","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-10 Enterprise SE&I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.734","0.734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","cdbb4fb4f6ae602204437f67f704687063469c0fb2ddc7876c6d3d17897d780a","2-c0c069ea2ebac315db267e84a5e8e611cec03fe045a3dd38f7ecb4a8d3abb019","","0-bc14c8a8d6bc70eed65a6beff763ca9eee88978bb998ce916b20749e8808b22b","root.record.ItemExhibitList.P5Item"
"GPS Block IIA Space Vehicle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","28","","","","","","","","","","869.768","0","869.768","","","","","","","","","","31.063","31.063","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","0-c93f53c6fb0303f66e72c03193938783971d6fd34174f707d3c63df8dd078586","","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
"GPS Block IIR Space Vehicle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","","","","","","","","","","1088.345","0","1088.345","","","","","","","","","","51.826","51.826","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","1-30253b199db03cea0a493e5638678d63dd7c16c1ef69c58f38dd8549e67d7d09","","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
"GPS Block IIF Space Vehicle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","","","","","","","","","","984.726","0","984.726","","","","","","","","","","82.061","82.061","","","","","","","","","","","","","","","","","","","","","","","","2017-BASE_PROCUREMENT-2017-AIRFORCE_MISSILE-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.zzz_unzipped-U_PROCUREMENT_MasterJustificationBook_Air_Force_PB_2017.xml","99554f66970c2e4a349514c345da20460d2563a5256f170cd76862215ec3828e","2-fdeb61de8e7807f4e370a9a019cac15e06a9fb7db1fb8d1d83543ec3e425fba3","","0-4174f963505e087a2f0644686352cecb6a8f81cb2a5b84df79804b2d775ecbc6","root.record.ItemExhibitList.P5Item"
